"source","evaluator","dataset","datapoint","smm_consistency","atc_coalition","atc_spd","atc_fdp","atc_green","atc_scholz","atc_lindner","atc_habeck","smm_coalition","smm_spd","smm_fdp","smm_green","smm_scholz","smm_lindner","smm_habeck","comment","datapoint_new"
"heval1","Ayten","newspaper_ampel-aus_201-300_processed.json",63,1,"NONE","NONE","0","NONE","NONE","NONE","NONE","0","NONE","0","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_201-300_processed.json_63"
"heval1","Ayten","newspaper_ampel-aus_300-400_processed.json",29,1,"0","NONE","NONE","NONE","0","0","NONE","0","NONE","NONE","NONE","0","0","NONE",,"newspaper_ampel-aus_300-400_processed.json_29"
"heval1","Ayten","newspaper_ampel-aus_0-200_processed.json",174,1,"0","0","0","NONE","0","0","NONE","0","0","0","NONE","0","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_174"
"heval1","Ayten","articles_newswires_processed.json",50,1,"0","0","0","NONE","0","-1","0","0","0","0","NONE","0","-1","0",,"articles_newswires_processed.json_50"
"heval1","Ayten","newspaper_D-Day_processed.json",125,1,"0","NONE","0","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_125"
"heval1","Efe","newspaper_D-Day_processed.json",14,1,"0","NONE","0","NONE","NONE","NONE","NONE","0","NONE","0","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_14"
"heval1","Efe","articles_newspapers_processed.json",21,1,"NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_21"
"heval1","Efe","articles_newspapers_processed.json",14,1,"0","NONE","NONE","NONE","-1","NONE","NONE","0","NONE","NONE","NONE","0","NONE","NONE",,"articles_newspapers_processed.json_14"
"heval1","Efe","newspaper_D-Day_processed.json",22,0,"-1","NONE","-1","NONE","NONE","-1","NONE","0","NONE","-1","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_22"
"heval1","Efe","newspaper_Ampel_Koalition am Ende_52_processed.json",36,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"newspaper_Ampel_Koalition am Ende_52_processed.json_36"
"heval1","Bene","newspaper_ampel-aus_0-200_processed.json",167,1,"0","1","0","0","0","0","NONE","0","0","0","0","0","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_167"
"heval1","Bene","newspaper_ampel-aus_0-200_processed.json",64,1,"1","NONE","0","1","NONE","-1","NONE","1","NONE","0","1","NONE","-1","NONE","mehrere Überschriften und nicht nur ein Artikel zum Koalitionsaus.","newspaper_ampel-aus_0-200_processed.json_64"
"heval1","Bene","newspaper_D-Day_processed.json",80,1,"0","0","-1","NONE","NONE","-1","NONE","0","0","-1","0","NONE","-1","NONE",,"newspaper_D-Day_processed.json_80"
"heval1","Bene","newspaper_ampel-aus_0-200_processed.json",62,1,"0","0","0","NONE","0","0","NONE","0","0","0","NONE","0","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_62"
"heval1","Bene","newspaper_D-Day_processed.json",102,0,"0","NONE","0","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE","mehrere Verwechslungen in der Zsmfg.","newspaper_D-Day_processed.json_102"
"heval1","Tim","articles_newswires_processed.json",29,1,"-1","0","0","0","0","-1","NONE","-1","0","0","0","0","0","NONE",,"articles_newswires_processed.json_29"
"heval1","Tim","newspaper_ampel-aus_0-200_processed.json",156,1,"0","0","0","0","0","0","0","0","0","0","NONE","0","0","0",,"newspaper_ampel-aus_0-200_processed.json_156"
"heval1","Tim","articles_newspapers_processed.json",67,1,"NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_67"
"heval1","Tim","newspaper_ampel-aus_300-400_processed.json",89,1,"0","0","1","0","0","1","NONE","0","0","1","0","0","1","NONE",,"newspaper_ampel-aus_300-400_processed.json_89"
"heval1","Tim","newspaper_ampel-aus_0-200_processed.json",170,1,"-1","0","0","0","-1","-1","-1","0","NONE","NONE","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_170"
"heval1","Henri","newspaper_ampel-aus_0-200_processed.json",100,1,"-1","0","0","0","-1","-1","-1","-1","-1","-1","-1","0","0","0",,"newspaper_ampel-aus_0-200_processed.json_100"
"heval1","Henri","newspaper_ampel-aus_300-400_processed.json",94,1,"-1","0","-1","0","NONE","-1","NONE","0","0","0","0","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_94"
"heval1","Henri","newspaper_ampel-aus_0-200_processed.json",49,0,"-1","0","-1","0","0","-1","0","0","-1","1","-1","NONE","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_49"
"heval1","Henri","newspaper_D-Day_processed.json",116,1,"-1","0","-1","NONE","NONE","-1","NONE","0","0","-1","NONE","NONE","-1","NONE",,"newspaper_D-Day_processed.json_116"
"heval1","Henri","newspaper_ampel-aus_300-400_processed.json",62,0,"1","0","-1","NONE","1","-1","NONE","0","NONE","-1","NONE","-1","-1","NONE",,"newspaper_ampel-aus_300-400_processed.json_62"
"heval1","Jannis","articles_newspapers_processed.json",35,1,"NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_35"
"heval1","Jannis","newspaper_ampel-aus_201-300_processed.json",70,0,"-1","0","-1","0","NONE","NONE","NONE","-1","NONE","-1","0","NONE","NONE","NONE",,"newspaper_ampel-aus_201-300_processed.json_70"
"heval1","Jannis","articles_newswires_processed.json",60,1,"0","NONE","0","NONE","0","0","NONE","0","NONE","0","NONE","0","0","NONE",,"articles_newswires_processed.json_60"
"heval1","Jannis","newspaper_D-Day_processed.json",55,1,"0","NONE","-1","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_55"
"heval1","Jannis","newspaper_D-Day_processed.json",68,1,"0","NONE","0","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_68"
"heval2","Sophia","newspaper_ampel-aus_0-200_processed.json",18,1,"-1","0","0","0","0","0","0","0","0","0","NONE","0","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_18"
"heval2","Sophia","newspaper_ampel-aus_0-200_processed.json",24,1,"-1","0","0","0","-1","-1","0","0","NONE","NONE","NONE","NONE","NONE","0",,"newspaper_ampel-aus_0-200_processed.json_24"
"heval2","Sophia","newspaper_ampel-aus_0-200_processed.json",31,1,"-1","-1","-1","NONE","0","0","NONE","-1","-1","-1","NONE","0","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_31"
"heval2","Sophia","newspaper_ampel-aus_0-200_processed.json",70,1,"-1","0","-1","0","0","-1","0","-1","0","-1","NONE","0","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_70"
"heval2","Sophia","newspaper_ampel-aus_0-200_processed.json",71,1,"0","0","NONE","NONE","NONE","NONE","NONE","0","0","NONE","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_71"
"heval2","Charlotte","newspaper_ampel-aus_0-200_processed.json",91,0,"0","0","0","0","-1","-1","0","0","0","0","NONE","1","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_91"
"heval2","Charlotte","newspaper_ampel-aus_0-200_processed.json",106,0,"-1","NONE","NONE","NONE","NONE","NONE","NONE","-1","NONE","NONE","NONE","NONE","NONE","NONE","Article is english, summary german","newspaper_ampel-aus_0-200_processed.json_106"
"heval2","Charlotte","newspaper_ampel-aus_0-200_processed.json",110,1,"0","NONE","NONE","1","NONE","-1","NONE","0","NONE","NONE","1","NONE","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_110"
"heval2","Charlotte","newspaper_ampel-aus_0-200_processed.json",111,0,"-1","NONE","-1","0","NONE","NONE","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_111"
"heval2","Hannah","newspaper_ampel-aus_0-200_processed.json",118,1,"0","NONE","-1","NONE","NONE","-1","NONE","0","NONE","0","NONE","NONE","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_118"
"heval2","Hannah","newspaper_ampel-aus_0-200_processed.json",122,1,"NONE","0","0","0","NONE","NONE","NONE","NONE","0","0","0","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_122"
"heval2","Hannah","newspaper_ampel-aus_0-200_processed.json",125,1,"0","1","-1","0","0","-1","NONE","0","0","-1","0","NONE","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_125"
"heval2","Hannah","newspaper_ampel-aus_0-200_processed.json",128,1,"-1","0","-1","0","-1","-1","0","0","NONE","-1","NONE","-1","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_128"
"heval2","Hannah","newspaper_ampel-aus_0-200_processed.json",137,1,"-1","0","-1","0","0","-1","NONE","-1","0","-1","0","-1","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_137"
"heval2","Monika","newspaper_ampel-aus_0-200_processed.json",152,1,"-1","-1","-1","NONE","-1","-1","NONE","-1","NONE","0","NONE","NONE","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_152"
"heval2","Monika","newspaper_ampel-aus_0-200_processed.json",169,1,"NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Not realy about the coallition breakdown ","newspaper_ampel-aus_0-200_processed.json_169"
"heval2","Monika","newspaper_ampel-aus_0-200_processed.json",177,0,"-1","0","-1","NONE","0","-1","NONE","0","0","0","NONE","1","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_177"
"heval2","Monika","newspaper_ampel-aus_0-200_processed.json",197,1,"-1","0","-1","NONE","1","-1","NONE","-1","0","-1","NONE","0","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_197"
"heval2","Ayten","newspaper_ampel-aus_0-200_processed.json",200,1,"1","0","NONE","NONE","1","-1","NONE","1","0","NONE","NONE","1","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_200"
"heval2","Ayten","newspaper_ampel-aus_201-300_processed.json",59,1,"0","0","0","NONE","0","0","0","0","0","0","NONE","0","NONE","NONE",,"newspaper_ampel-aus_201-300_processed.json_59"
"heval2","Ayten","newspaper_ampel-aus_201-300_processed.json",77,0,"0","0","0","NONE","0","NONE","0","0","0","0","NONE","0","NONE","0",,"newspaper_ampel-aus_201-300_processed.json_77"
"heval2","Ayten","newspaper_ampel-aus_201-300_processed.json",99,1,"0","0","0","NONE","0","-1","0","0","NONE","0","NONE","0","0","0",,"newspaper_ampel-aus_201-300_processed.json_99"
"heval2","Efe","newspaper_ampel-aus_300-400_processed.json",1,1,"0","0","0","1","NONE","0","NONE","0","0","0","1","NONE","0","NONE",,"newspaper_ampel-aus_300-400_processed.json_1"
"heval2","Efe","newspaper_ampel-aus_300-400_processed.json",60,0,"-1","0","0","0","0","0","0","-1","0","0","0","0","0","NONE",,"newspaper_ampel-aus_300-400_processed.json_60"
"heval2","Efe","newspaper_ampel-aus_300-400_processed.json",66,1,"0","NONE","-1","NONE","NONE","NONE","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_66"
"heval2","Efe","newspaper_ampel-aus_300-400_processed.json",70,1,"-1","NONE","NONE","NONE","NONE","NONE","NONE","-1","NONE","NONE","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_70"
"heval2","Bene","newspaper_ampel-aus_300-400_processed.json",73,1,"0","0","-1","0","NONE","NONE","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_73"
"heval2","Bene","newspaper_ampel-aus_300-400_processed.json",78,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"newspaper_ampel-aus_300-400_processed.json_78"
"heval2","Bene","newspaper_ampel-aus_300-400_processed.json",96,0,"-1","0","-1","0","1","-1","0","0","0","0","0","0","-1","0",,"newspaper_ampel-aus_300-400_processed.json_96"
"heval2","Bene","newspaper_D-Day_processed.json",5,1,"0","NONE","-1","NONE","NONE","-1","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_5"
"heval2","Bene","newspaper_D-Day_processed.json",6,0,"-1","0","-1","0","0","-1","0","0","NONE","0","0","0","0","NONE",,"newspaper_D-Day_processed.json_6"
"heval2","Tim","newspaper_D-Day_processed.json",7,1,"0","NONE","-1","NONE","NONE","-1","NONE","0","NONE","0","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_7"
"heval2","Tim","newspaper_D-Day_processed.json",39,1,"0","0","-1","1","NONE","0","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_39"
"heval2","Tim","newspaper_D-Day_processed.json",49,1,"0","NONE","NONE","NONE","NONE","-1","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_49"
"heval2","Tim","newspaper_D-Day_processed.json",62,1,"0","0","-1","1","0","-1","0","0","0","0","0","NONE","0","NONE",,"newspaper_D-Day_processed.json_62"
"heval2","Tim","newspaper_D-Day_processed.json",64,1,"0","0","-1","0","0","0","0","0","0","-1","0","0","0","NONE",,"newspaper_D-Day_processed.json_64"
"heval2","Henri","newspaper_D-Day_processed.json",69,1,"0","NONE","-1","NONE","NONE","0","NONE","0","NONE","-1","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_69"
"heval2","Jannis","newspaper_D-Day_processed.json",86,1,"0","NONE","0","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_86"
"heval2","Jannis","newspaper_D-Day_processed.json",99,0,"0","0","-1","NONE","0","0","NONE","0","NONE","0","NONE","0","0","NONE",,"newspaper_D-Day_processed.json_99"
"heval2","Jannis","newspaper_D-Day_processed.json",107,0,"0","1","-1","0","NONE","NONE","NONE","0","1","0","NONE","0","0","NONE",,"newspaper_D-Day_processed.json_107"
"heval2","Jannis","newspaper_D-Day_processed.json",117,1,"0","NONE","0","NONE","NONE","0","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_117"
"heval2","Jannis","newspaper_D-Day_processed.json",120,1,"0","1","-1","0","NONE","NONE","NONE","0","0","-1","NONE","0","1","NONE",,"newspaper_D-Day_processed.json_120"
"heval2","Henri","newspaper_D-Day_processed.json",136,1,"NONE","0","-1","0","NONE","NONE","NONE","NONE","0","-1","0","NONE","1","NONE",,"newspaper_D-Day_processed.json_136"
"heval2","Henri","newspaper_D-Day_processed.json",137,1,"-1","NONE","-1","NONE","NONE","-1","NONE","0","NONE","-1","NONE","NONE","-1","NONE",,"newspaper_D-Day_processed.json_137"
"heval2","Henri","newspaper_D-Day_processed.json",139,1,"-1","0","-1","0","NONE","-1","NONE","NONE","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_139"
"heval3","Sophia","newspaper_ampel-aus_300-400_processed.json",94,0,"-1","0","-1","0","0","-1","NONE","-1","0","-1","0","NONE","NONE","NONE",,"newspaper_ampel-aus_300-400_processed.json_94"
"heval3","Sophia","newspaper_ampel-aus_0-200_processed.json",111,1,"0","0","-1","NONE","NONE","NONE","NONE","0","0","-1","NONE","NONE","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_111"
"heval3","Sophia","newspaper_ampel-aus_0-200_processed.json",200,1,"-1","0","-1","NONE","0","-1","NONE","-1","0","-1","NONE","0","-1","NONE",,"newspaper_ampel-aus_0-200_processed.json_200"
"heval3","Sophia","newspaper_ampel-aus_201-300_processed.json",59,0,"0","0","0","0","0","0","NONE","0","0","0","0","0","NONE","NONE",,"newspaper_ampel-aus_201-300_processed.json_59"
"heval3","Sophia","newspaper_D-Day_processed.json",5,0,"-1","NONE","-1","NONE","NONE","0","NONE","-1","NONE","-1","NONE","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_5"
"heval3","Sophia","newspaper_D-Day_processed.json",99,0,"-1","0","-1","0","0","0","NONE","-1","NONE","-1","NONE","0","0","NONE",,"newspaper_D-Day_processed.json_99"
"heval3","Ayten","articles_newspapers_processed.json",93,1,"0","NONE","NONE","NONE","NONE","NONE","NONE","0","NONE","NONE","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_93"
"heval3","Jannis","newspaper_Ampel_Koalition am Ende_52_processed.json",2,1,"-1","0","0","0","0","-1","0","-1","0","0","0","0","-1","0","German","newspaper_Ampel_Koalition am Ende_52_processed.json_2"
"heval3","Jannis","newspaper_ampel-aus_201-300_processed.json",36,1,"-1","NONE","-1","NONE","1","-1","NONE","0","1","-1","1","NONE","-1","NONE","German","newspaper_ampel-aus_201-300_processed.json_36"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json",62,1,"0","NONE","0","NONE","1","0","NONE","0","NONE","0","NONE","0","NONE","NONE","German","newspaper_ampel-aus_0-200_processed.json_62"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json",156,1,"-1","0","0","0","0","-1","0","-1","NONE","0","NONE","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_156"
"heval3","Jannis","newspaper_ampel-aus_300-400_processed.json",89,0,"0","0","1","0","0","1","NONE","0","0","1","0","0","1","NONE","German","newspaper_ampel-aus_300-400_processed.json_89"
"heval3","Jannis","newspaper_D-Day_processed.json",116,1,"0","0","-1","NONE","NONE","-1","NONE","0","0","-1","NONE","NONE","0","NONE","German","newspaper_D-Day_processed.json_116"
"heval3","Ayten","articles_newswires_processed.json",60,1,"0","NONE","0","NONE","0","-1","NONE","0","NONE","0","NONE","0","-1","NONE",,"articles_newswires_processed.json_60"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json",18,1,"0","0","0","0","0","0","NONE","0","0","0","0","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_18"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json",122,1,"0","1","0","0","NONE","NONE","NONE","0","0","0","0","NONE","NONE","NONE","German","newspaper_ampel-aus_0-200_processed.json_122"
"heval3","Jannis","newspaper_ampel-aus_0-200_processed.json",137,1,"-1","0","-1","0","0","-1","NONE","0","0","-1","0","0","0","NONE","German","newspaper_ampel-aus_0-200_processed.json_137"
"heval3","Jannis","newspaper_ampel-aus_300-400_processed.json",78,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","German","newspaper_ampel-aus_300-400_processed.json_78"
"heval3","Jannis","newspaper_D-Day_processed.json",39,1,"0","0","-1","0","NONE","0","NONE","0","0","0","NONE","NONE","NONE","NONE","German","newspaper_D-Day_processed.json_39"
"heval3","Jannis","newspaper_D-Day_processed.json",86,1,"0","0","1","0","NONE","1","NONE","0","0","0","NONE","NONE","1","NONE","German","newspaper_D-Day_processed.json_86"
"heval3","Jannis","newspaper_D-Day_processed.json",137,1,"0","NONE","1","NONE","NONE","1","NONE","0","NONE","1","NONE","NONE","1","NONE","German","newspaper_D-Day_processed.json_137"
"heval3","Hannah","newspaper_ampel-aus_300-400_processed.json",12,0,"0","0","0","0","NONE","0","NONE","0","0","0","0","NONE","0","NONE","Summary thinks the coalition break was in Rheinhessen lol","newspaper_ampel-aus_300-400_processed.json_12"
"heval3","Hannah","articles_newspapers_processed.json",14,1,"-1","NONE","NONE","NONE","0","NONE","NONE","0","NONE","NONE","NONE","0","NONE","NONE","doesnt really deal with coalition breakdown","articles_newspapers_processed.json_14"
"heval3","Hannah","newspaper_D-Day_processed.json",80,1,"0","0","-1","NONE","NONE","0","NONE","0","0","-1","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_80"
"heval3","Hannah","newspaper_D-Day_processed.json",102,0,"0","NONE","-1","NONE","NONE","0","NONE","0","NONE","-1","NONE","NONE","0","NONE","Aussage von Lindner über Buschmann wird vertauscht","newspaper_D-Day_processed.json_102"
"heval3","Hannah","newspaper_ampel-aus_201-300_processed.json",70,1,"0","NONE","-1","0","NONE","NONE","NONE","NONE","NONE","0","0","NONE","NONE","NONE","deals mostly w/ different topic","newspaper_ampel-aus_201-300_processed.json_70"
"heval3","Hannah","newspaper_ampel-aus_0-200_processed.json",31,1,"-1","-1","-1","NONE","0","0","NONE","-1","-1","-1","NONE","0","0","NONE","FDP could be classified both -1 or 0","newspaper_ampel-aus_0-200_processed.json_31"
"heval3","Hannah","newspaper_ampel-aus_201-300_processed.json",77,1,"-1","0","0","0","0","0","0","-1","0","0","0","0","0","0",,"newspaper_ampel-aus_201-300_processed.json_77"
"heval3","Hannah","newspaper_ampel-aus_300-400_processed.json",96,1,"0","0","0","0","0","-1","0","0","0","0","0","0","0","0",,"newspaper_ampel-aus_300-400_processed.json_96"
"heval3","Monika","newspaper_ampel-aus_0-200_processed.json",24,0,"-1","NONE","NONE","1","0","0","1",,"NONE","NONE","1","NONE","NONE","1",,"newspaper_koalitionskrise_52_processed.json_36"
"heval3","Monika","newspaper_ampel-aus_300-400_processed.json",60,0,"-1","1","-1","0","1","-1","1","0","0","NONE","0","0","NONE","NONE",,"articles_newspapers_processed.json_67"
"heval3","Monika","newspaper_D-Day_processed.json",64,0,"-1","0","-1","0","0","-1","0","-1","0","-1","0","-1","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_24"
"heval3","Monika","articles_newspapers_processed.json",67,0,"NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Text is about Hungary and mentions german party collaps once","newspaper_ampel-aus_0-200_processed.json_128"
"heval3","Monika","newspaper_D-Day_processed.json",69,0,"-1","0","-1","0","NONE","-1","NONE","0","NONE","0","NONE","NONE","0","NONE",,"newspaper_ampel-aus_300-400_processed.json_60"
"heval3","Monika","newspaper_ampel-aus_0-200_processed.json",128,0,"-1","-1","-1","-1","-1","-1","-1","1","0","1","0","0","0","0",,"newspaper_D-Day_processed.json_64"
"heval3","Monika","newspaper_ampel-aus_0-200_processed.json",174,0,"-1","1","-1","0","0","-1","0","0","0","0","0","0","0","0","text was about the reaction of hessen and Reinland Pfalz reaktion to coalition breakdown, did mention party candidates muntch","newspaper_D-Day_processed.json_69"
"heval3","Tim","newspaper_D-Day_processed.json",153,1,"NONE","-1","-1","0","-1","0","0","NONE","0","-1","0","0","NONE","NONE",,"newspaper_D-Day_processed.json_153"
"heval3","Tim","articles_newspapers_processed.json",42,1,"0","NONE","-1","NONE","0","NONE","NONE","0","NONE","-1","NONE","NONE","NONE","NONE",,"articles_newspapers_processed.json_42"
"heval3","Tim","newspaper_D-Day_processed.json",132,1,"-1","-1","-1","NONE","-1","-1","NONE","0","0","-1","NONE","-1","-1","NONE","Satireartikel","newspaper_D-Day_processed.json_132"
"heval4","Sophia","newspaper_ampel-aus_300-400_processed.json",89,0,"0","0","0","NONE","0","0","NONE","0","NONE","0","NONE","0","0","NONE",,"newspaper_ampel-aus_300-400_processed.json_89"
"heval4","Sophia","newspaper_D-Day_processed.json",116,1,"-1","0","0","NONE","NONE","-1","NONE","-1","0","0","NONE","NONE","-1","NONE",,"newspaper_D-Day_processed.json_116"
"heval4","Sophia","newspaper_ampel-aus_0-200_processed.json",137,1,"-1","-1","-1","-1","-1","-1","NONE","-1","-1","-1","-1","-1","0","NONE",,"newspaper_ampel-aus_0-200_processed.json_137"
"heval4","Sophia","newspaper_D-Day_processed.json",80,0,"-1","0","-1","0","NONE","0","NONE","-1","0","-1","0","NONE","NONE","NONE",,"newspaper_D-Day_processed.json_80"
"heval4","Sophia","newspaper_ampel-aus_201-300_processed.json",77,0,"0","0","0","0","1","-1","1","0","0","0","0","1","NONE","1","1","newspaper_ampel-aus_201-300_processed.json_77"
"heval4","Sophia","newspaper_D-Day_processed.json",64,0,"-1","0","-1","0","0","-1","NONE","-1","0","-1","0","0","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_24"
"heval4","Tim","newspaper_D-Day_processed.json",86,1,"-1","0","-1","0","NONE","0","NONE","-1","NONE","-1","NONE","NONE","0","NONE",,"newspaper_D-Day_processed.json_86"
"heval4","Charlotte","newspaper_ampel-aus_0-200_processed.json",62,1,"-1","NONE","0","NONE","1","0","NONE","-1","NONE","0","NONE","0","NONE","NONE",,"newspaper_ampel-aus_0-200_processed.json_62"
"heval4","Charlotte","newspaper_koalitionskrise_52_processed.json",36,1,"-1","0","-1","0","0","0","1","-1","0","0","0","1","0","0","Article from viewpoint before Ampel-Aus","newspaper_ampel-aus_0-200_processed.json_174"
"heval4","Charlotte","articles_newspapers_processed.json",67,1,"0","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Article not about coalition breakdown at all, finds one mentions in a quote","newspaper_ampel-aus_0-200_processed.json_128"
